課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
11-1,39.     ,小明,Xiǎomíng,,"Xiaoming, a nickname","Tiểu Minh, một biệt danh",เสี่ยวหมิง ชื่อเล่น,Xiaoming၊ နာမည်ပြောင်,小明（シャオミン）の愛称,별명 샤오밍,"Xiaoming, un apodo","Xiaoming, nama panggilan",4
11-1,40.     ,家長日,jiāzhǎngrì,,parents’ day,ngày họp phụ huynh,วันพ่อแม่,မိဘများနေ့,両親の日,어버이날,dia de los padres,hari orang tua,4
11-1,41.     ,氣人,qìrén,,"exasperating, annoying","bực bội, khó chịu","น่ารำคาญ, น่ารำคาญ",စိတ်ဆိုးခြင်း၊ စိတ်အနှောက်အယှက်ဖြစ်ခြင်း။,腹立たしい、迷惑な,"짜증나는, 짜증나는","desesperante, molesto","menjengkelkan, menjengkelkan",4
11-1,42.     ,照說,zhào shuō,,to keep on saying…,cứ nói đi nói lại...,ที่จะพูดต่อไป...,ဆက်ပြောဖို့…,言い続けること…,계속 말하려고…,seguir diciendo.,terus mengatakan…,4
11-1,43.     ,在…之餘,zài…zhīyú,,to do something at a time when not doing…,làm việc gì đó vào lúc không nên làm...,การทำบางสิ่งบางอย่างในเวลาที่ไม่ได้ทำ...,မလုပ်တဲ့ အချိန်မှာ တစ်ခုခုလုပ်ဖို့...,やっていないときに一度に何かをすること…,하지 않는 시간에 뭔가를 하다…,hacer algo en un momento en el que no se está haciendo.,melakukan sesuatu pada saat tidak melakukan…,4
11-1,44.     ,本地人,běndì rén,,local people,người địa phương,คนในท้องถิ่น,ဒေသခံလူတွေ,地元の人々,지역 사람들,gente local,masyarakat lokal,4
11-1,45.     ,自己人,zìjǐrén,,"one of us, one of our own, compatriots","người nhà, đồng bào",พวกเราคนหนึ่ง คนหนึ่งของเราเอง เพื่อนร่วมชาติ,ငါတို့ထဲက တစ်ယောက်၊ ငါတို့ထဲက တစ်ယောက်၊,私たちの一人、私たち自身の一人、同胞,"우리 중 하나, 우리 동포 중 하나","uno de nosotros, uno de los nuestros, compatriotas","salah satu dari kita, salah satu dari kita sendiri, rekan senegaranya",4
11-1,46.     ,哪裡！哪裡！,nǎlǐ nǎlǐ,,"not at all, not a problem, you’re welcome","không có gì, đừng khách sáo",ไม่เป็นไร ไม่ใช่ปัญหา ยินดีด้วย,လုံးဝမပါ၊ ပြဿနာမဟုတ်ပါဘူး၊ ကြိုဆိုပါတယ်။,全く問題ありません、どういたしまして,전혀 문제없어 천만에요,"Para nada, no hay problema, de nada","tidak sama sekali, tidak masalah, sama-sama",4
11-2,1.        ,漸漸,jiànjiàn,Adv,gradually,dần dần,ค่อยๆ,တဖြည်းဖြည်း,徐々に,서서히,gradualmente,perlahan-lahan,4
11-2,2.        ,曾,céng,Adv,"have been before,was once (formal)","đã từng, đã một lần (trang trọng)","เคยเป็นมาก่อน, ครั้งหนึ่ง (เป็นทางการ)",အရင်ကဖြစ်ခဲ့ဖူးတယ် (တရားဝင်),以前にあった、かつてあった（正式な）,"전에도 있었어, 한 번 있었어 (형식적으로)","haber estado antes, fue una vez (formal)","telah sebelumnya, pernah (formal)",4
11-2,3.        ,嘗試,chángshì,V/N,"to try (something new), attempt; an attempt","thử (cái gì mới), nỗ lực; một nỗ lực",พยายาม (สิ่งใหม่) พยายาม; ความพยายาม,ကြိုးစားရန်၊ ကြိုးစားမှုတစ်ခု,（何か新しいことを）試みる、試みる。試み,"(새로운 것을) 시도하다, 시도하다; 시도","probar (algo nuevo), intentar; un intento","mencoba (sesuatu yang baru), mencoba; sebuah upaya",4
11-2,4.        ,結構,jiégòu,N,structure,cấu trúc,โครงสร้าง,ဖွဲ့စည်းပုံ,構造,구조,estructura,struktur,4
11-2,5.        ,產生,chǎnshēng,Vp,"to take place, produce","xảy ra, tạo ra",ที่จะเกิดขึ้นผลิต,နေရာယူ၊ ထုတ်လုပ်,起こる、生み出す,"발생하다, 생산하다","tener lugar, producir","berlangsung, menghasilkan",4
11-2,6.        ,轉變,zhuǎnbiàn,N,"change, transformation","sự thay đổi, biến đổi",การเปลี่ยนแปลงการเปลี่ยนแปลง,ပြောင်းလဲခြင်း၊ အသွင်ပြောင်းခြင်း။,変化、変革,"변화, 변화","cambio, transformación","perubahan, transformasi",4
11-2,7.        ,嬰兒,yīng’ér,N,baby,em bé,ที่รัก,ကလေး,赤ちゃん,아기,bebé,Sayang,4
11-2,8.        ,雙親,shuāngqīn,N,both parents,cả cha lẫn mẹ,ทั้งพ่อและแม่,နှစ်ဖက်မိဘများ,両親,부모님 둘 다,ambos padres,kedua orang tuanya,4
11-2,9.        ,本國,běnguó,N,our country,"nước ta, quốc gia chúng ta",ประเทศของเรา,ငါတို့နိုင်ငံ,我が国,우리 나라,nuestro pais,negara kita,4
11-2,10.     ,國籍,guójí,N,nationality,quốc tịch,สัญชาติ,နိုင်ငံသား,国籍,국적,nacionalidad,kebangsaan,4
11-2,11.     ,大陸籍,Dàlùjí,N,"from Mainland China, (lit. Mainland nationality) (籍 -jí, nationality)","người đại lục, (nghĩa đen) quốc tịch đại lục","จากจีนแผ่นดินใหญ่ (ตามตัวอักษร สัญชาติแผ่นดินใหญ่) (籍 -jí, สัญชาติ)",တရုတ်ပြည်မကြီးမှ၊ (စာသားအရ၊ ပြည်မကြီးနိုင်ငံသား) (籍 -jí၊ နိုင်ငံသား),中国本土出身、（文字通り、本土の国籍）（籍 -jí、国籍）,"중국 본토 출신, (문자 그대로 본토 국적) (籍 -jí, 국적)","de China continental, (literalmente, nacionalidad continental) (籍 -jí, nacionalidad)","dari Tiongkok Daratan, (harfiah, kewarganegaraan Daratan) (籍 -jí, kewarganegaraan)",4
11-2,12.     ,其,qí,Det,"his, her, its, their(formal)","của anh ấy, cô ấy, nó, họ (trang trọng)","เขา, เธอ, มัน, ของพวกเขา(เป็นทางการ)",သူ့ရဲ့ (တရားဝင်)၊,彼の、彼女の、その、彼らの（正式な）,"그의, 그녀의, 그것의, 그들의(공식)","su, ella, su, su (formal)","miliknya, dia, itu, mereka (formal)",4
11-2,13.     ,比例,bǐlì,N,ratio (percentage),tỷ lệ (phần trăm),อัตราส่วน (ร้อยละ),အချိုး (ရာခိုင်နှုန်း),比率（パーセンテージ）,비율(백분율),relación (porcentaje),rasio (persentase),4
11-2,14.     ,根本,gēnběn,Vs,fundamental,"cơ bản, căn bản",พื้นฐาน,အခြေခံ,基本的,근본적인,fundamental,mendasar,4
11-2,15.     ,可見,kějiàn,Conj,"it is obvious that, it is clearly seen that","rõ ràng là, có thể thấy rõ",ย่อมเห็นชัดว่านั้น,အဲဒါကို ရှင်းရှင်းလင်းလင်း မြင်ပါတယ်။,それは明らかです、それは明らかにわかります,"그것은 명백하다, 그것은 명백히 보인다.","es obvio que, se ve claramente que","jelas sekali, terlihat jelas bahwa",4
11-2,16.     ,現有,xiànyǒu,Vs-attr,"current, existing","hiện tại, đang tồn tại",ปัจจุบันที่มีอยู่,လက်ရှိ၊ ရှိပြီးသား,現在の、既存の,"현재, 기존","actual, existente","saat ini, yang sudah ada",4
11-2,17.     ,分配,fēnpèi,N/V,"distribution, to distribute, allocate","sự phân bổ, phân phối","แจกจ่าย, แจกจ่าย, จัดสรร",ဖြန့်ဖြူးရန်၊ ဖြန့်ဝေရန်၊ ခွဲဝေပေးရန်,配布する、配布する、割り当てる,"분배하다, 분배하다, 할당하다","distribuir, distribuir, asignar","distribusi, mendistribusikan, mengalokasikan",4
11-2,18.     ,顧慮,gùlǜ,Vst,to be concerned about,quan tâm đến,ห่วง / กังวล (huang / kang won),စိတ်ပူသည် (sate pu thi),心配する (shinpai suru),걱정하다 (geokjeonghada),estar preocupado por,dikhawatirkan,4
11-2,19.     ,學童,xuétóng,N,school children,học sinh,เด็กนักเรียน,ကျောင်းကလေးတွေ,学童,학교 아이들,niños de escuela,anak sekolah,4
11-2,20.     ,身心,shēnxīn,N,"physical and mental, mind and body",thể chất và tinh thần,ร่างกายและจิตใจจิตใจและร่างกาย,ရုပ်နှင့်စိတ်၊ စိတ်နှင့်ကိုယ်,肉体と精神、心と体,"육체적, 정신적, 마음과 몸","físico y mental, mente y cuerpo","fisik dan mental, pikiran dan tubuh",4
11-2,21.     ,缺乏,quēfá,Vst,to lack,thiếu,ขาด (khat) / ไม่พอ (mai pho),လိုသည် (lo thi) / ချို့တဲ့သည် (cho te thi),欠く (kaku) / 足りない (tarinai),부족하다 (bujokhada) / 모자라다 (mojarada),faltar,kekurangan,4
11-2,22.     ,課業,kèyè,N,school work,"việc học, bài vở",งานโรงเรียน,ကျောင်းစာ,学校の勉強,학교 공부,Trabajo escolar,pekerjaan sekolah,4
11-2,23.     ,指導,zhǐdǎo,N/V,guidance; to give guidance to,hướng dẫn; hướng dẫn,คำแนะนำ; เพื่อให้คำแนะนำแก่,လမ်းညွှန်ချက် လမ်းညွှန်ပေးရန်,ガイダンス;に指導する,안내; 에게 지침을 주다,guía; para dar orientación a,panduan; memberikan bimbingan kepada,4
11-2,24.     ,輔導,fǔdǎo,V,to counsel,tư vấn,เพื่อให้คำปรึกษา,တိုင်ပင်ရန်,カウンセリングする,조언하다,aconsejar,menasihati,4
11-2,25.     ,輸,shū,Vp,to lose out (opposite of win),thua cuộc (trái với thắng),แพ้ (ตรงข้ามกับการชนะ),ရှုံးနိမ့်ခြင်း (အနိုင်ရခြင်း၏ဆန့်ကျင်ဘက်),負ける（勝つの反対）,패배하다 (승리의 반대),perder (lo contrario de ganar),kalah (kebalikan dari menang),4
11-2,26.     ,失去,shīqù,Vp,"to lose (an item), lack","mất mát, thiếu hụt",สูญเสีย (สิ่งของ) ขาด,ဆုံးရှုံးခြင်း (ပစ္စည်းတစ်ခု) ချို့တဲ့ခြင်း။,（物を）失う、欠ける,"(물건을) 잃다, 부족하다","perder (un artículo), falta","kehilangan (suatu barang), kekurangan",4
11-2,27.     ,然而,rán’ér,Conj,"but, on the other hand, however","nhưng, mặt khác, tuy nhiên",แต่ในทางกลับกัน,သို့သော် အခြားတစ်ဖက်တွင်၊,しかし一方で、しかし,그러나 반면에 그러나,"pero, por otro lado, sin embargo","tapi, di sisi lain, bagaimanapun juga",4
11-2,28.     ,觀點,guāndiǎn,N,perspective,"góc nhìn, quan điểm",ทัศนคติ,အမြင်,視点,관점,perspectiva,perspektif,4
11-2,29.     ,加速,jiāsù,V,to accelerate,"tăng tốc, đẩy nhanh",เพื่อเร่งความเร็ว,အရှိန်မြှင့်ရန်,加速する,가속하다,acelerar,mempercepat,4
